;job_id;job_title;kualifikasi_pendidikan;spesialist;work_exp;careerLevel;salaryMin;salaryMax;kualifikasi;jobLocation;company_name;company_industry;company_job_type;company_size;job_url;closedAt;postedAt
10;3972268;TOEFL IBT , IELTS, A Level Teacher;Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2);"Pendidikan/Pelatihan;Pendidikan";2 tahun;Pegawai (non-manajemen & non-supervisor);;;We need you for TOEFL IBT or A Level TutorRequirement:Bachelor/Master graduated in any fieldsFor TOEFL IBT Tutor position must have TOEFL IBT certificate (min score 98)For A level position ( Math, Economics, Sciences ) minimal 2 years experience, (Have certificate is a plus)Passionate and experienced in teachingAble to utilize online learning platform, i.e Zoom and Google classroomHaving good communication skillWork from home/remote working;Yogyakarta;PT Lister Teknologi Edukasi;Pendidikan;Paruh Waktu;1- 50 pekerja;https://www.jobstreet.co.id/id/job/toefl-ibt-ielts-a-level-teacher-3972268;25/08/2022 17:00;11/08/2022 20:00
11;3972335;Digital Surveillance;Sertifikat Professional, D3 (Diploma), D4 (Diploma);"Manufaktur;Penjaminan Kualitas / QA";1 tahun;Pegawai (non-manajemen & non-supervisor);2000000.0;2600000.0;Requirements:Minimal DiplomaMinimal 6+ months prior administrative experience in a nationwide companyKeen, well structured, and able to work in orderComfortable with working under massive pressureAble to communicate wellFamiliar with Google Applications (e.g. Drive, Docs & Slides)Good computing skillJob Description:Checking on Outlet's performance online on a daily basisInvestigate Customer Complaints (P0, P0-A, P1, & P2);Yogyakarta;PT. Modular Kuliner Indonesia;Makanan & Minuman/Katering/Restoran;Penuh Waktu;1001 - 2000 pekerja;https://www.jobstreet.co.id/id/job/digital-surveillance-3972335;25/08/2022 17:00;11/08/2022 20:00
12;3978214;IT Trainer;Sarjana (S1);"Pendidikan/Pelatihan;Pelatihan & Pengembangan";1 tahun;Pegawai (non-manajemen & non-supervisor);3000000.0;5000000.0;Tanggung Jawab PekerjaanMemberikan pelatihan dibidang Teknologi Informasi dengan panduan materi yang sudah adaMelakukan upgrade knowledge di beberapa judul materi pelatihanMembantu peserta untuk menyusun rencana pelatihan lanjutanPersyaratanPendidikan minimal S1Memiliki pengalaman di bidang yang sama minimal 1 tahunMenguasai beberapa bahasa pemrograman terkiniMemiliki passion sebagai pengajarMemiliki keinginan untuk terus belajarSudah pernah mengajar lebih diutamakan (Bidang IT Profesional)Mohon mencantumkan skill yang dikuasaiFasilitasAsuransi kesehatanTunjangan pensiunTunjangan keahlianMendapat kesempatan untuk mengembangkan potensi diriMendapat kesempatan mengikuti ujian sertifikasi internasional sesuai major skillTerdapat jenjang karirFasilitas olahragaSuasana PekerjaanMemiliki tim yang solid dan humbleMemiliki wadah untuk berbagi ilmu dalam tim Ada kegiatan instructor gatheringProses pembelajaran yang efektif dengan mengikuti sit-in class Lokasi PerusahaanAlamat di jl. kenari no 69 YogyakartaTransportasi mudah karena terletak di tengah kotaDekat dengan sarana transportasi, tempat makan, dan fasilitas publik lainnya NOTE:Mohon mencantumkan nomor Whatsapp dengan benarMelampirkan CV lengkapProses interview dan tes praktikal dilaksanakan di YogyakartaPenempatan kerja di Yogyakarta;Yogyakarta;PT Inixindo Widya Iswara Nusantara;Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal);Penuh Waktu;1- 50 pekerja;https://www.jobstreet.co.id/id/job/it-trainer-3978214;31/08/2022 17:00;11/08/2022 20:00
13;3978300;SEO Specialist;Sarjana (S1);"Penjualan / Pemasaran;Digital Marketing";2 tahun;Pegawai (non-manajemen & non-supervisor);;;KualifikasiMemiliki pengalaman dalam membangun dan menjalankan strategi SEO dengan baik. (On-page, off-page, dan technical SEO)Menguasai SEO tools seperti Google Analytics, Google Search Console, SEMrush, Ahrefs dan lainnya.Memiliki kemampuan, pengalaman dan memahami pembuatan laporan SEO Memiliki keahlian teknis tentang HTML/CSSMemiliki kemampuan analisa kompetitif terhadap kompetitor atau pesaing bisnisFamiliar dan terbiasa menggunakan Content Management System (CMS) seperti WordPress atau yang lainnya.Selalu update dengan tren dan praktik SEO terbaru untuk tetap bisa mematuhi search engine guidelines;Yogyakarta;PT Lister Teknologi Edukasi;Pendidikan;Penuh Waktu;1- 50 pekerja;https://www.jobstreet.co.id/id/job/seo-specialist-3978300;31/08/2022 17:00;11/08/2022 20:00
14;3978306;SPG/SPB (WATES);Tidak terspesifikasi;"Penjualan / Pemasaran;Penjualan Ritel";1 tahun;Lulusan baru/Pengalaman kerja kurang dari 1 tahun;3000000.0;4200000.0;Kualifikasi:Mampu Bekerja mandiriMemiliki kemampuan untuk salesmemiliki pengalaman di retail atau sebagai SPG/SPBbersedia masuk weekenddapat segera bergabungTugas dan tanggung JawabMelakukan kegiatan selling di areaMerapihkan displayMenjalankan kegiatan promosi di areaMelayani customer yang datang ke retail;Kulon Progo;PT ADS KOMUNIKASI INDONESIA;Periklanan/Marketing/Promosi/Hubungan Masyarakat;Penuh Waktu;51 - 200 pekerja;https://www.jobstreet.co.id/id/job/spg-spb-wates-3978306;31/08/2022 17:00;11/08/2022 20:00
15;3978409;Middle PHP Programmer (MPP);Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1);"Komputer/Teknologi Informasi;IT-Perangkat Lunak";1 tahun;Pegawai (non-manajemen & non-supervisor);4000000.0;7000000.0;Requirements:Candidate must possess at least a Diploma, Bachelor's Degree, Art/ Design/ Creative Multimedia, Computer Science/Information Technology, Engineering (Computer/ Telecommunication), Mathematics, Science & Technology, or equivalent.Required skill(s): Laravel/Symfony, HTML, JavaScript, CSS.Required language(s): English, Bahasa Indonesia.At least 1 year(s) of working experience in the related field is required for this position.Preferably Staff (non-management & non-supervisor)s specializing in IT/ Computer - Software or equivalent.Full remote dan renewable contract.Responsibility:Building application by using PHPDoing testing on the applicationDeploying the applicationAdding new features as requested;Yogyakarta;PT Visi Multimedia Aditama;Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal);Kontrak;51 - 200 pekerja;https://www.jobstreet.co.id/id/job/middle-php-programmer-mpp-3978409;31/08/2022 17:00;11/08/2022 20:00
16;3978702;Account Officer (Bantul, Kulon Progo Sleman dan Magelang);SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1);"Akuntansi / Keuangan;Perbankan / Jasa Finansial ";1 tahun;Pegawai (non-manajemen & non-supervisor);;;Tugas dan Tanggung Jawab:Bertanggung jawab atas kegiatan pemasaran sekaligus penagihan angsuran,Menjalin kerja sama dengan Mitra secara berkelanjutanMelakukan pembinaan kepada MitraKualifikasi:Usia minimal 21 - 28 Tahun (Lulusan SLTA) dan usia 21 - 32 tahun (Lulusan D3/S1)Pendidkan Minimal SLTA (Sederajat), Paket C bisa melamarMemiliki kendaraan roda 2 & SIM C yang masih aktifMampu mengoperasikan komputer (minimal Ms. Offce)Bersedia bekerja di lapangan dan berinteraksi dengan ibu-ibu/ lingkungan baruMampu berkomunikasi dan membangun relasi dengan baik, ulet dan teliti dan pekerja kerasBersedia ditempatkan di area Bantul, Kulon Progo, Sleman dan Magelang.Diutamakan sesuai domisili;"Jawa Tengah;Sleman;Bantul";PT Bina Artha Ventura;Perbankan/Pelayanan Keuangan;Penuh Waktu;2001 - 5000 pekerja;https://www.jobstreet.co.id/id/job/account-officer-bantul-kulon-progo-sleman-dan-magelang-3978702;31/08/2022 17:00;11/08/2022 20:00
17;3978702;Account Officer (Bantul, Kulon Progo Sleman dan Magelang);SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1);"Akuntansi / Keuangan;Perbankan / Jasa Finansial ";1 tahun;Pegawai (non-manajemen & non-supervisor);;;Tugas dan Tanggung Jawab:Bertanggung jawab atas kegiatan pemasaran sekaligus penagihan angsuran,Menjalin kerja sama dengan Mitra secara berkelanjutanMelakukan pembinaan kepada MitraKualifikasi:Usia minimal 21 - 28 Tahun (Lulusan SLTA) dan usia 21 - 32 tahun (Lulusan D3/S1)Pendidkan Minimal SLTA (Sederajat), Paket C bisa melamarMemiliki kendaraan roda 2 & SIM C yang masih aktifMampu mengoperasikan komputer (minimal Ms. Offce)Bersedia bekerja di lapangan dan berinteraksi dengan ibu-ibu/ lingkungan baruMampu berkomunikasi dan membangun relasi dengan baik, ulet dan teliti dan pekerja kerasBersedia ditempatkan di area Bantul, Kulon Progo, Sleman dan Magelang.Diutamakan sesuai domisili;"Jawa Tengah;Sleman;Bantul";PT Bina Artha Ventura;Perbankan/Pelayanan Keuangan;Penuh Waktu;2001 - 5000 pekerja;https://www.jobstreet.co.id/id/job/account-officer-bantul-kulon-progo-sleman-dan-magelang-3978702;31/08/2022 17:00;11/08/2022 20:00
18;3979363;Sales Executive Industry;Sarjana (S1);"Penjualan / Pemasaran;Penjualan Ritel";3 tahun;Pegawai (non-manajemen & non-supervisor);;;Primary responsibility is to increase sales.Working closely with customers to determine their needs, answer their questions about our products and recommend the right solutions.Helping determine pricing for quotes, promotion and negotiation.Answering client questions about credit terms, term of payment. Also products, prices and stock availability.Understanding and promoting company programs.Resolve customer complaints and ensure maximum client satisfaction.Visiting clients and potential clients to evaluate needs and promote not only products but services.Obtaining deposits and balance of payment from clients.Preparing weekly report. Requirements:Bachelor’s degree in business, sales/marketing, economics or related field.Experience in sales 3-5 years, preferably in woodworking industry.Understanding of the sales process and dynamics.Excellent written and verbal communication skills.Ability to listen to customer and build good rapport.Able to work comfortably in a fast paced environment.Understand furniture production and furniture fitting requirements.;Yogyakarta;;None;Penuh Waktu;;https://www.jobstreet.co.id/id/job/sales-executive-industry-3979363;31/08/2022 17:00;11/08/2022 20:00
19;3979537;Content Creator & Videographer;SMA, SMU/SMK/STM, Sarjana (S1);"Seni/Media/Komunikasi;Seni / Desain Kreatif";2 tahun;Pegawai (non-manajemen & non-supervisor);3000000.0;3500000.0;Melakukan riset konten video di semua platform social mediaMembuat planing konten kebutuhan iklan/ads, testimoni hingga review produk di seluruh social media (Tiktok, Facebook, Instagram, Youtube) maupun kebutuhan event/projectMempersiapkan keperluan/kebutuhan shooting (story board, talent, properti)Membuat/produksi video konten untuk kebutuhan iklan/ads, testimoni hingga review produk di social mediaMelakukan editing video sebelum dipublikasikan untuk mendapatkan hasil terbaikBekerjasama dengan Graphic Designer membuat foto produk;Sleman;Forbes Titik Terang;Produk Konsumen/Barang konsumen yang bergerak cepat;Penuh Waktu;1- 50 pekerja;https://www.jobstreet.co.id/id/job/content-creator-videographer-3979537;31/08/2022 17:00;11/08/2022 20:00
20;3990322;Instruktur Bahasa Jepang;SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1);"Pendidikan/Pelatihan;Pendidikan";1 tahun;Pegawai (non-manajemen & non-supervisor);;;Kualifikasi PekerjaanPendidikan minimal SMA/SMKMempunyai pengalaman mengajarMemiliki sertifikat bahasa jepang minimal N2,N1 diutamakanPenempatan gamping, slemanMemiliki pengalaman ke jepang menjadi nilai plusDeskripsi PekerjaanProfesional, berdedikasi, senang bertemu dengan orang baruBersedia bekerja tetapMemiliki keinginan untuk meningkatkan pengetahuan mengenai budaya Jepang dan bahasa JepangBenefitGaji perbulanmendapatkan insentif tambahan;Sleman;Puspa Setya Abadi;Pendidikan;Penuh Waktu;;https://www.jobstreet.co.id/id/job/instruktur-bahasa-jepang-3990322;09/09/2022 17:00;11/08/2022 02:05
21;3990371;Medical Record Staff Yogyakarta;Tidak terspesifikasi;"Layanan Kesehatan;Praktisi/Asisten Medis";12 tahun;Pegawai (non-manajemen & non-supervisor);;;Task & Responsibilities :1. Pendistribusian File MR·      Mendistribusikan File MR sesuai rencana kunjungan pasien dan sesuai dengan ruangan yang dituju.2. Filling File MR·      Memasukkan File MR ke rak sesuai dengan urutan nomor rekam medisnya dan tidak salah masuk ke rak.3. Pengambilan File MR·      Mengambil File MR sesuai dengan nomor MR dirak dan tidak salah Nomor MR.4. Penginputan Hasil Penunjang dan Berkas RM·      Menginput dan Scan hasil penunjang medis dikomputer sesuai dengan SOP·      Menginput dan scan kelengkapan administrasi·      Scan Anamnesa dan IC5. Assembling·      Merapihkan, Memasukan hasil penunjang medis, menyusun Formulir-formulir file MR yang selesai tindakan·      Mengecek Kelengkapan, merapihkan dan menyiapkan hasil penunjang di dalam File Mr pasien yang akan melakukan kunjungan6. Verifikasi Tindakan·      Mengecek File MR yang akan tindakan OPU & FET sudah lengkap atau belum (baik kelengkapan administrasi, TTD IC, SIOP, Hasil Penunjang medis) dan konfirmasi ke pasien & perawat apabila belum lengkap·      Menginput ketidaklengkapan File MR·      Mencatat di formulir tindakan FET tanggal berapa dan siapa saja pasien yang akan melakukan FET7. Keterangan Medis & surat istirahat·      Membuat surat istirahat dan keterangan medis pasien sesuai SOP·      Email keterangan medis & surat istirahat apabila sudah selesai·      Melayani pengambilan langsung keterangan medis & surat istirahat8. Pelayanan pemberian informasi medis dan hasil penunjang medis·      Memberikan pelayanan hasil penunjang medis & informasi medis ke Pasien baik secara langsung atau di email.·      Memberikan pelayanan hasil penunjang medis & informasi medis ke cabang Morula9. Koding·      Menginput kode diagnosa dikomputer setelah pasien selesai dari poli (belum bisa dijalankan)Requirements :Educations·      D3 Rekam Medis, D3 MPRS/SKM/D3 lainnya (harus ada sumpah untuk tidak menyebar luaskan informasi medis dan data rs)Certifications·   STR untuk yang D3 Perekam medis·   D3 MPRS/SKM/D3 lainnya tidak ada STRExperiences·   Fresh graduated untuk perekam medis atau pengalaman 1 tahunD3 MPRS/SKM/D3 lainnya pengalaman di bidang Rekam Medis 1 tahun dan mempunyai sertifikat pelatihan & seminar Medical RecordSpecific Knowledge and Skills Required·   Sertifikat sertifikat pelatihan dan seminar Medical Record;Yogyakarta;PT Morula Indonesia;BioTeknologi/Farmasi/Riset klinik;Kontrak;201 - 500 pekerja;https://www.jobstreet.co.id/id/job/medical-record-staff-yogyakarta-3990371;09/09/2022 17:00;11/08/2022 02:25
22;3990404;Tiktok Talent;Tidak terspesifikasi;"Seni/Media/Komunikasi;Periklanan";;Lulusan baru/Pengalaman kerja kurang dari 1 tahun;;;Kualifikasi :Usia maksimal 25 tahunFotogenik (terbiasa bermain TikTok)Percaya diri di depan kameraMengikuti trend TikTok dan up to date (tertarik di dunia skincare lebih diutamakan)Personality fun dan cherfullMemiliki Public Speaking yang baikDomisili Yogyakarta ;Yogyakarta;ZettaSkin Care;Perawatan/Kecantikan/Fitnes;Penuh Waktu;;https://www.jobstreet.co.id/id/job/tiktok-talent-3990404;09/09/2022 17:00;11/08/2022 02:33
23;3990439;Digital Marketing Manager;Tidak terspesifikasi;"Penjualan / Pemasaran;Digital Marketing";2 tahun;Manajer/Asisten Manajer;;;Job description Digital Marketing Manager :- Merencanakan, menyusun, mengeksekusi, mengevaluasi & memonitoring strategi & target digital marketing- Membuat report keseluruhan kegiatan digital marketing - Membangun budaya kerja yang profesional di team digital marketing- Mengevaluasi & mengoptimalkan kinerja team digital marketing- Memastikan server & website perusahaan berjalan dengan lancar & baikPersyaratan Digital Marketing Manager:- Memiliki pengalaman sebagai team leader di bidang digital marketing atau digital creative planner- Menguasai analytic tools, SEO/SEM and Social Media management- Memiliki analytical dan planning skill yang baik- Dapat melakukan problem solving secara efektif dan mempertahankan kualitas kinerja dalam situasi apapun- Lebih disukai memiliki skill designPenempatan di Bantul Yogyakarta;Yogyakarta;Happy Tour Jogja;Travel/Pariwisata;Kontrak;1- 50 pekerja;https://www.jobstreet.co.id/id/job/digital-marketing-manager-3990439;09/09/2022 17:00;11/08/2022 02:52
